sentiment,review,review_length,rating,preprocessed_review,sentiment_encoded
neutral,it felt like it would break easily and the texture of the mouse would get dirty quickly ,17,3.0,felt like would break easily texture mouse would get dirty quickly,1
neutral,bought this mouse on december its october and no matter how long charge it the only thing it does is blink the red light once and die don recommend this at all ,32,1.0,bought mouse december october matter long charge thing blink red light die recommend,1
negative,it works ok nothing spectacular if you re gamer or use the mouse quite bit you have to charge it about once day or it starts lagging and causes things to crash or freeze up due to the lag ,39,3.0,work ok nothing spectacular gamer use mouse quite bit charge day start lagging cause thing crash freeze due lag,0
negative,unfortunately this mouse stopped working after month of use can replace the item or get refund ,16,1.0,unfortunately mouse stopped working month use replace item get refund,0
negative,i had no issues with the mouse but dropped it from not even ft from the ground on accident of course and the spin wheel and the left clicker broke ve ordered another one and hope it lasts longer than this one did ,43,4.0,issue mouse dropped even ft ground accident course spin wheel left clicker broke ordered another one hope last longer one,0
neutral,bought months ago now have to charge it every other day ,11,2.0,bought month ago charge every day,1
positive,like design not function frustrating,5,2.0,like design function frustrating,2
neutral,we tried several different ways to charge it and it would not hold charge over minutes ,16,1.0,tried several different way charge would hold charge minute,1
neutral,i bought this mouse to go with my work laptop when have to travel to sites hate using the pad that is built into the laptop this is cute and little am thinking about using it for my personal laptop when gaming or doing school work ,46,5.0,bought mouse go work laptop travel site hate using pad built laptop cute little thinking using personal laptop gaming school work,1
positive,got two of these with colors that matched out tablets easy to transport and just right feel in my hand so far they work perfectly and at what would consider great price ,32,5.0,got two color matched tablet easy transport right feel hand far work perfectly would consider great price,2
neutral,the mouse wheel broke and just spins now used this for my work laptop and loved it but if this is the quality it is will not buy another,29,2.0,mouse wheel broke spin used work laptop loved quality buy another,1
neutral,i liked this product until is stopped working months later ,10,2.0,liked product stopped working month later,1
positive,i ve actually purchased two of these and both broke in the same way the scroller do not recommend if you need them for any kind of gaming that requires the scroller need to use it for camera angles in game and without it gameplay is awful won be buying third one but if that not gonna be problem for you then these will probably be great they hold charge well and the light show they put on is really cool ,81,2.0,actually purchased two broke way scroller recommend need kind gaming requires scroller need use camera angle game without gameplay awful buying third one gon na problem probably great hold charge well light show put really cool,2
neutral,easy to use,3,5.0,easy use,1
positive, it an excellent product if you re looking for wireless mouse good price and with high load durability that correct use it for work in arcgis excellent service,28,5.0,excellent product looking wireless mouse good price high load durability correct use work arcgis excellent service,2
neutral,as lot of other reviewers said the scroll wheel broke have had different usb mouse for years without this problem ll be going back to it the battery life is also very short constantly having to recharge it ,38,2.0,lot reviewer said scroll wheel broke different usb mouse year without problem going back battery life also short constantly recharge,1
neutral,first time that need to change the battery and it doesnt work anymore no duro ni meses ,17,3.0,first time need change battery doesnt work anymore duro ni meses,1
neutral,quit working after months can get it to work anymore charging port is messed up have unplugged it once ,19,2.0,quit working month get work anymore charging port messed unplugged,1
neutral,repeatedly and without proper functioning my mouse turned on for second then turned right back off again after being plugged into the laptop overnight searched for power issue reviews and found am not the only one cannot recommend this product and feel it should be taken down due to this ,50,1.0,repeatedly without proper functioning mouse turned second turned right back plugged laptop overnight searched power issue review found one recommend product feel taken due,1
neutral,stopped working month after received this,6,1.0,stopped working month received,1
neutral,didn work would not charge,5,1.0,work would charge,1
neutral,this is exactly what needed my favorite features are the quite clicks and the led lights ,16,5.0,exactly needed favorite feature quite click led light,1
neutral,i got this less and two months ago and loved it until today when it broke when touched the wheel ,20,2.0,got less two month ago loved today broke touched wheel,1
positive,it was cute and worked super well while it lasted but about weeks into using it it just stops doesn hold charge doesn stay on of course it lasts beyond when you can return it so just don take the chance ,41,1.0,cute worked super well lasted week using stop hold charge stay course last beyond return take chance,2
neutral,it already doesn work,4,1.0,already work,1
neutral,i have had this few months and loved it but now the roller to scroll is not working ,18,3.0,month loved roller scroll working,1
neutral,haven had it long usb adapter is already broken so my mouse is currently unusable on my macbook mouse is decent but seems to not hold charge very long when was using it ,33,2.0,long usb adapter already broken mouse currently unusable macbook mouse decent seems hold charge long using,1
positive,i purchased this mouse back in june of this year it is now october the battery life is soo powerful the color changing is the best experience could have ha with mouse can believe how happy am with this purchase ,40,5.0,purchased mouse back june year october battery life soo powerful color changing best experience could ha mouse believe happy purchase,2
negative,the center scroll wheel broke in weeks for no reason mouse was not dropped and barely used garbage so you get what you pay for ,25,1.0,center scroll wheel broke week reason mouse dropped barely used garbage get pay,0
neutral,charged all night and only last few minutes this mouse has pretty design but it too thin to hold just asked for refund but not replaced ,26,2.0,charged night last minute mouse pretty design thin hold asked refund replaced,1
neutral,this worked for few months had to charge it overnight week as work from home and used this mouse for my work laptop after several months it stopped holding charge and would have to be charged daily now it won charge or work super annoying because really need mouse and now have to order another one had hoped this would last lot longer than months but now putting plastic into the landfill and it sucks ,75,1.0,worked month charge overnight week work home used mouse work laptop several month stopped holding charge would charged daily charge work super annoying really need mouse order another one hoped would last lot longer month putting plastic landfill suck,1
neutral,you could think it decent mouse for the price you paid but in reality it is an uncomfortable mouse and barely works the only good thing about this mouse is that it comes with usb to usb adapter which comes in handy ,42,1.0,could think decent mouse price paid reality uncomfortable mouse barely work good thing mouse come usb usb adapter come handy,1
neutral,a very reasonably priced cordless rechargeable mouse with button control with scroll wheel which is my preference rather than the macbookair track pad or the mac mouse for the desktop mac ,31,5.0,reasonably priced cordless rechargeable mouse button control scroll wheel preference rather macbookair track pad mac mouse desktop mac,1
neutral,i would buy it against it pretty not really bling just sleek ,12,5.0,would buy pretty really bling sleek,1
neutral,it has soft touch,4,1.0,soft touch,1
neutral,the scroll feature on the mouse broke weeks after the return period otherwise like it ,15,5.0,scroll feature mouse broke week return period otherwise like,1
positive,its nice mouse but not sure if its good for gaming ,11,1.0,nice mouse sure good gaming,2
neutral,cool and easy to use at first but broke with in few weeks of use ,15,1.0,cool easy use first broke week use,1
neutral,this product simply doesn work the charger connection port is mishapen ,11,1.0,product simply work charger connection port mishapen,1
negative,i hated this item they described how easy it was to use and received mine and it does not connect after doing my research on it its suppose to be compatible with my laptop and its not so now have to order different one im very disappointed in this product ,50,1.0,hated item described easy use received mine connect research suppose compatible laptop order different one im disappointed product,0
negative,feels very cheap wouldn charge on my laptop had to plug it in on my desktop to charge it finally got it charged just for it to die after hours of non continuous use it getting returned ,37,4.0,feel cheap charge laptop plug desktop charge finally got charged die hour non continuous use getting returned,0
positive,my first one had about weeks and the wheel broke loose and it would not work received replacement in two days and it perfect can blame them for manufacturing issue love my pink mouse highly recommend it use it hours day days week ,43,5.0,first one week wheel broke loose would work received replacement two day perfect blame manufacturing issue love pink mouse highly recommend use hour day day week,2
neutral,it works well it does what purchased it for ,9,2.0,work well purchased,1
negative,scroll interior post broke causing the mouse to no longer work bought in jan broke oct otherwise nice functioning overall,20,1.0,scroll interior post broke causing mouse longer work bought jan broke oct otherwise nice functioning overall,0
positive,i purchased this mouse as the wheel on my old one quit working loved the design and wanted another so ordered it and received it aug it is oct and the wheel just quick working again would recommend looking at different mouse if you prefer your scrolling feature ,48,1.0,purchased mouse wheel old one quit working loved design wanted another ordered received aug oct wheel quick working would recommend looking different mouse prefer scrolling feature,2
negative,this item is poorly made battery died within minutes after full charge hours it was returned the same day it was delivered ,22,1.0,item poorly made battery died within minute full charge hour returned day delivered,0
neutral,mouse worked fine for months charged it every week or so then wouldn charge via usb not good option for those who need something reliable ,25,1.0,mouse worked fine month charged every week charge via usb good option need something reliable,1
positive,received product on the th charged it and started using it the charge didn last that long maybe day at most but today it doesn work at all glad kept my old battery one ,34,1.0,received product th charged started using charge last long maybe day today work glad kept old battery one,2
neutral,this mouse was great up until today when the scroll finger pad completely broke the scroll function is loose and now wont work at all ,25,2.0,mouse great today scroll finger pad completely broke scroll function loose wont work,1
neutral,i ve had this for month and half it stopped working ve tried charging repeatedly and it does nothing ,19,2.0,month half stopped working tried charging repeatedly nothing,1
neutral,this worked great for months then one day just stopped working ,11,2.0,worked great month one day stopped working,1
neutral,worked well for the first few weeks then broke right after return window closed ,14,3.0,worked well first week broke right return window closed,1
neutral,it was ok for cheap mouse it started lagging after few months and eventually quit working over all,18,1.0,ok cheap mouse started lagging month eventually quit working,1
neutral,broke in less than months scrolling won workwouldn recommendquit right outside the return window,14,1.0,broke less month scrolling workwouldn recommendquit right outside return window,1
positive,ergonomic and fits my hand well pretty when charged mine doesn hold charge well it only lasts couple hours at most ,21,5.0,ergonomic fit hand well pretty charged mine hold charge well last couple hour,2
positive,certainly helps to look at instructional pictures and to try to translate what the instructions mean,16,1.0,certainly help look instructional picture try translate instruction mean,2
neutral,the little wheel broke within the nd day,8,5.0,little wheel broke within nd day,1
neutral,performs as expected,3,3.0,performs expected,1
neutral,mouse seems to work ok looks nice easy install etc biggest complaint is the time out and wake up feature every time go to use the pc it asleep then have to either click button which may may not cause an action on the pc or pick it up and down several times too annoying so stopped using it might keep it aside for use with my laptop when traveling definitely not for daily use ,75,4.0,mouse seems work ok look nice easy install etc biggest complaint time wake feature every time go use pc asleep either click button may may cause action pc pick several time annoying stopped using might keep aside use laptop traveling definitely daily use,1
neutral,not bad would rather have purchased apple,7,2.0,bad would rather purchased apple,1
neutral,the box came absolutely smashed and the mouse doesn work with the usb adapter that included with it ,18,5.0,box came absolutely smashed mouse work usb adapter included,1
neutral,broke within week ,3,2.0,broke within week,1
positive,this is slim quiet and absolutely love the changing of colors best mouse ve had ,15,5.0,slim quiet absolutely love changing color best mouse,2
neutral,this worked great at first but have to keep it on power or it will only last about hours after about months ,22,5.0,worked great first keep power last hour month,1
positive,i bought this mouse to match the keyboard bought for my daughter to use with her laptop she does online school and likes having mouse as well as keyboard she likes that they match and both light up didn know how it would be for gaming ,46,1.0,bought mouse match keyboard bought daughter use laptop online school like mouse well keyboard like match light know would gaming,2
positive,very easy to use and sleek design it is small enough to fit easily into my computer bag when have to take it with me ,25,5.0,easy use sleek design small enough fit easily computer bag take,2
neutral,good feel and ergonomics but scroll wheel broke at six weeks design plastic quality selection does not live up to common everyday use ,23,2.0,good feel ergonomics scroll wheel broke six week design plastic quality selection live common everyday use,1
positive,this is nice little mouse very quiet clicking and get lots of compliments on the changing color lights ,18,5.0,nice little mouse quiet clicking get lot compliment changing color light,2
neutral,did not work with intended laptop,6,5.0,work intended laptop,1
positive,sleek ergonomic feel quiet clicker easy to charge usb easy to install would definitely recommend for the price ,18,5.0,sleek ergonomic feel quiet clicker easy charge usb easy install would definitely recommend price,2
positive,i just purchased this mouse to use with my new laptop and am impressed with the quietness of the buttons and it has helped me win on my games,29,1.0,purchased mouse use new laptop impressed quietness button helped win game,2
positive,love the clickity clicks of the mouse got it for my daughter for online school work and she loves the damn thing ,22,1.0,love clickity click mouse got daughter online school work love damn thing,2
neutral,this mouse would not connect to my compute despite multiple attempts following the instructions given as is typical of many amazon products this product is cheaply made and not worth wasting your money on would suggest avoiding making purchases from this brand in the future and strongly suggest not buying this mouse unless throwing money away on broken pieces of junk that don work is past time of yours then knock yourself out ,73,1.0,mouse would connect compute despite multiple attempt following instruction given typical many amazon product product cheaply made worth wasting money would suggest avoiding making purchase brand future strongly suggest buying mouse unless throwing money away broken piece junk work past time knock,1
neutral,bought the item and scroll button and left button stopped working after about months of use,16,1.0,bought item scroll button left button stopped working month use,1
neutral,very ergonomic,2,5.0,ergonomic,1
positive,item worked fine for months and then no longer would turn on and yes it was fully charged of course it was past the return date so its basically junk save your money and buy name brand,37,1.0,item worked fine month longer would turn yes fully charged course past return date basically junk save money buy name brand,2
positive,the mouse is very slim but is so cheaply made don dare drop it or it going to break won by another one,23,1.0,mouse slim cheaply made dare drop going break another one,2
positive, bought this mouse for my office to go with the theme and love it was kind of frustrated at first because it was tricky getting it to come on but after holding the two buttons it worked great purchase ,39,4.0,bought mouse office go theme love kind frustrated first tricky getting come holding two button worked great purchase,2
neutral,these things stop working after few weeks got two and one it just refuses to charge or stay on the other the scroller fell very poorly made do not purchase ,30,1.0,thing stop working week got two one refuse charge stay scroller fell poorly made purchase,1
positive,i like how slim it is and the colors are nice touch without being distracting clicking is responsive though the movement was little glitchy for me sometimes my biggest complaint is that the usb sticks out super far if you have to use the usb adapter ,46,2.0,like slim color nice touch without distracting clicking responsive though movement little glitchy sometimes biggest complaint usb stick super far use usb adapter,2
positive,i was super exited for this to come and it worked for about five minuted the only thing that worked was the usb to type adapter ,26,1.0,super exited come worked five minuted thing worked usb type adapter,2
neutral,i used it for month and then it stopped working ,10,1.0,used month stopped working,1
positive,love the color love how it changes colors and love how it holds charge ,14,5.0,love color love change color love hold charge,2
neutral,i bought this mouse because it said it was rechargeable and wouldn have to remember to always have batteries around used it for few days and once the better inside died went to recharge it charged it for hours even though it says the charge time is hours and then went to go use it and it does not work,60,5.0,bought mouse said rechargeable remember always battery around used day better inside died went recharge charged hour even though say charge time hour went go use work,1
negative,put one star because this store sent me bad mouse twice the first was working then not working the next did not work at all just wasted time and money ,30,3.0,put one star store sent bad mouse twice first working working next work wasted time money,0
positive,i love the sleep mode so easy to use ,9,1.0,love sleep mode easy use,2
neutral,works on macbook pro ,4,1.0,work macbook pro,1
positive,i loved this little mouse it looked great it felt great in my hand the wheel was nice for scrolling the battery even held charge for what thought was reasonable amount of time would categorize my usage as light moderate use and no abuse then came the day about month after arrival right after the return window closed that it started glitching now it drops off not responding then will work again then drop off again and not talking about sleep mode this is during active use back and forth back and forth it frustrating probably more because so desperately want mouse instead of my laptop trackpad all that said didn spend whole lot of money on this mouse so get what pay for just wish had gotten little more than month before the glitching ,135,2.0,loved little mouse looked great felt great hand wheel nice scrolling battery even held charge thought reasonable amount time would categorize usage light moderate use abuse came day month arrival right return window closed started glitching drop responding work drop talking sleep mode active use back forth back forth frustrating probably desperately want mouse instead laptop trackpad said spend whole lot money mouse get pay wish gotten little month glitching,2
negative,the scroll button broke after just month would not recommend,10,5.0,scroll button broke month would recommend,0
positive,i was happy with this purchase until the mouse wheel quit working purchased this device on july and week ago september it quit working after looking through the questions see others have experienced this too wouldn purchase this item it known issue ,42,1.0,happy purchase mouse wheel quit working purchased device july week ago september quit working looking question see others experienced purchase item known issue,2
positive,i got this for my mother because she wanted something pink and cheap it really feels like its made of trash it does seem to work well enough though the tracking is inconsistent at best the ergonomics are really non existent doesn seem like it made for human hands overall if you re buying for somebody who wants something cheap and pink and cant tell the difference go for it but if you actually care about having half decent mouse skip this one ,83,3.0,got mother wanted something pink cheap really feel like made trash seem work well enough though tracking inconsistent best ergonomics really non existent seem like made human hand overall buying somebody want something cheap pink cant tell difference go actually care half decent mouse skip one,2
positive,like it size perfect fit for laptop bag,8,4.0,like size perfect fit laptop bag,2
neutral,nice mouse little too lightweight for my liking battery lasts while track wheel already broke unfortunately ,16,3.0,nice mouse little lightweight liking battery last track wheel already broke unfortunately,1
neutral,the on off switch often feels like there is sand in the mouse when moving it it not smooth move like would have expected like the mouse but that roughness is annoying at times ,34,1.0,switch often feel like sand mouse moving smooth move like would expected like mouse roughness annoying time,1
neutral,it taken me while to remember to turn it on after it sits awhile ,14,5.0,taken remember turn sits awhile,1
neutral,you get what you pay for,6,5.0,get pay,1
neutral,i bought one and the piece going into my laptop didn work the second broke easily ,16,4.0,bought one piece going laptop work second broke easily,1
neutral,very good product ,3,5.0,good product,1
positive,i love this mouse it quiet and pretty and the battery lasts while probably charge it once maybe twice week,20,5.0,love mouse quiet pretty battery last probably charge maybe twice week,2
positive,it ergonomic and stylish very cute colors and cool lights comes with all the attachments like cords for charging and it has small indent under the mouse to keep the part that plugs into your laptop forever losing mine so that great feature very quiet as well recommend it for nice cheap little mouse ,54,2.0,ergonomic stylish cute color cool light come attachment like cord charging small indent mouse keep part plug laptop forever losing mine great feature quiet well recommend nice cheap little mouse,2
neutral,amazing feels cheap but is very durable,7,5.0,amazing feel cheap durable,1
positive,very nice mouse love the size and feel,8,5.0,nice mouse love size feel,2
neutral,very cheap mouse connectivity is poor at times ,8,5.0,cheap mouse connectivity poor time,1
positive,love the colors so far ok,6,5.0,love color far ok,2
positive,i love the different colors easy to find at night holds charge for few days ,15,5.0,love different color easy find night hold charge day,2
neutral,soft light smooth ,3,1.0,soft light smooth,1
positive,i like how light and easy to handle is ,9,5.0,like light easy handle,2
positive,love it,2,5.0,love,2
negative,i only had this item for month if that and it has already stopped working it will not hold charge and it is not the cable shouldn have ignored the other comments about it not working don make my same mistake ,41,2.0,item month already stopped working hold charge cable ignored comment working make mistake,0
positive,its slick well made mouse and will be buying another one thanks to manufacturer for nice creativity in build ,19,5.0,slick well made mouse buying another one thanks manufacturer nice creativity build,2
positive,i really liked this mouse when first got it it was low profile had nice soft and quiet click had rainbow lights and was available in rose gold color thought made great purchase now ve had it for less than months and the scroll wheel is so squeaky can stand to hear it when scrolling through documents bummed it was lemon ,61,5.0,really liked mouse first got low profile nice soft quiet click rainbow light available rose gold color thought made great purchase less month scroll wheel squeaky stand hear scrolling document bummed lemon,2
neutral,i use the mouse instead of mousepad,7,1.0,use mouse instead mousepad,1
neutral,very nice,2,5.0,nice,1
positive,prompt delivery on an awesome product,6,1.0,prompt delivery awesome product,2
neutral,the colors were great while it worked the wheel broke and the usb fell apart when pulling it out of the computer ,22,1.0,color great worked wheel broke usb fell apart pulling computer,1
negative,bought one at first broke within couple of months thinking maybe it was my daughter bought another and broke again within couple of months the middle wheel on the mouse is defective and it the same problem from the first one bought,42,5.0,bought one first broke within couple month thinking maybe daughter bought another broke within couple month middle wheel mouse defective problem first one bought,0
positive,lightweight mouse easy to charge can use while charging and like the teal color got with fun colors lighting up makes my office work and time at the computer feel little less boring easy to connect and works well with imac ,41,1.0,lightweight mouse easy charge use charging like teal color got fun color lighting make office work time computer feel little less boring easy connect work well imac,2
negative,so sad been using for months only and the scroll wheel broke already bye bye scrolling feature kind of turn off to use it now that its broken,28,1.0,sad using month scroll wheel broke already bye bye scrolling feature kind turn use broken,0
neutral,you have to press down very hard on the mouse it gets very annoying wish still had the box return it,21,5.0,press hard mouse get annoying wish still box return,1
positive,perfect little mouse this mouse is so easy to use and to charge up it lightweight love the little colors and it fits my hand perfectly,26,3.0,perfect little mouse mouse easy use charge lightweight love little color fit hand perfectly,2
neutral,this product only lasted days thought it was not charged but it not that,14,1.0,product lasted day thought charged,1
positive,i don use this mouse often and the mouse has completely failed won turn on it does light up when it is charging but won turn on and stay on completely unusable pretty big bummer since past return do not recommend ,41,3.0,use mouse often mouse completely failed turn light charging turn stay completely unusable pretty big bummer since past return recommend,2
positive,perfect in my office love the lightweight and easy to use ,11,5.0,perfect office love lightweight easy use,2
negative,the mouse worked great until one day it stopped scrolling ve had it just about month the rest of the mouse seems to be working but the scroll wheel is no longer responsive ,33,1.0,mouse worked great one day stopped scrolling month rest mouse seems working scroll wheel longer responsive,0
negative,do not buy this bought this in august st return period is only days and it stopped working in october rd tried different charging cords thought maybe it was the cord but no lock just completely dead ,37,1.0,buy bought august st return period day stopped working october rd tried different charging cord thought maybe cord lock completely dead,0
negative,the mouse has good shape and charges quickly but the roll just broke after one week of use,18,4.0,mouse good shape charge quickly roll broke one week use,0
neutral,sleep mode works well,4,5.0,sleep mode work well,1
positive,simple to use long battery life recharges by plugging into your computer this is the first mouse ve enjoyed using that wasn wired this works much better than the old battery opperated ones and has much longer battery life ,39,5.0,simple use long battery life recharges plugging computer first mouse enjoyed using wired work much better old battery opperated one much longer battery life,2
neutral,it no for me ,4,3.0,,1
neutral,lasted little over month and the scroll wheel stopped working ,10,3.0,lasted little month scroll wheel stopped working,1
neutral,it doesn stay charged for very long,7,5.0,stay charged long,1
positive,just plugged it in and it worked perfectly wanted small low profile mouse to use when travel so far this one seems great the chromebook travel with only has usb ports and did think that that this mouse came with usb receiver but it doesn it comes with usb receiver and an adapter which works fine but together they are over an inch long which is little awkward it means have to be very careful not to bump it and beak it if the receiver were smaller this would be ideal overall great value ,94,1.0,plugged worked perfectly wanted small low profile mouse use travel far one seems great chromebook travel usb port think mouse came usb receiver come usb receiver adapter work fine together inch long little awkward mean careful bump beak receiver smaller would ideal overall great value,2
neutral,quiet and just what was looking for,7,1.0,quiet looking,1
positive,it was great to begin with for the price wasn expecting lot however the scroll wheel quit working within the first times of using it which is one of the reasons purchased it to begin with ,36,2.0,great begin price expecting lot however scroll wheel quit working within first time using one reason purchased begin,2
neutral,the mic stopped working and charging after few weeks,9,3.0,mic stopped working charging week,1
positive,it looks awesome and is really quiet only had it for short time but love it ,16,1.0,look awesome really quiet short time love,2
negative,terrible product first mouse broke within week second mouse broke within months ,12,1.0,terrible product first mouse broke within week second mouse broke within month,0
neutral,this is broken within month ,5,5.0,broken within month,1
neutral,mine stopped working it doesn work on mouse pad and freezes when use it on top of flat surface ,19,5.0,mine stopped working work mouse pad freeze use top flat surface,1
neutral,cheap broke after months,4,5.0,cheap broke month,1
neutral,the product is cheap and worked well for the first months,11,5.0,product cheap worked well first month,1
neutral,stopped working in less than week just up and died and now it has to be returned and look for another one save yourself the effort and keep on lookin this ain it ,33,1.0,stopped working less week died returned look another one save effort keep lookin,1
positive,battery takes forever to die which is great sleep mode helps lot it thinner and smoother than any other mouse ve own love the lights ,25,1.0,battery take forever die great sleep mode help lot thinner smoother mouse love light,2
neutral,purchased two works as described you can beat this price highly recommend ,12,4.0,purchased two work described beat price highly recommend,1
neutral,i got it for my husband he chose his colors lol,11,3.0,got husband chose color lol,1
neutral,i like that it does not need batteries the battery lasts long time ,13,2.0,like need battery battery last long time,1
positive,i read the other reviews and it seems great fully charge mine and it last few hours if the charge lasted this would be good mouse have to rate mine one ,31,1.0,read review seems great fully charge mine last hour charge lasted would good mouse rate mine one,2
neutral,right out of the box the mouse never worked the buttons activate but the mouse never moved the cursor junk ,20,5.0,right box mouse never worked button activate mouse never moved cursor junk,1
neutral,very good,2,1.0,good,1
neutral,i bought one for my laptop and days after got it the wheel stopped working and could hear something loose inside it returned it for replacement the new one seems to be working fine although sometimes the cursor glides smoothly across the screen and other times it jumps around lot maybe this is just something wireless mice do don know ve never had one before ,65,5.0,bought one laptop day got wheel stopped working could hear something loose inside returned replacement new one seems working fine although sometimes cursor glide smoothly across screen time jump around lot maybe something wireless mouse know never one,1
negative,tried times using this in the week ve had it even checked to make sure it was fully charged turned it off on several times and no improvement movement of cursor is very slow delayed very disappointed with functionality went back to using my battery operated mouse ,47,5.0,tried time using week even checked make sure fully charged turned several time improvement movement cursor slow delayed disappointed functionality went back using battery operated mouse,0
neutral,initially thought it great piece but slowly am struggling to use it as it stops working or goes to sleep for long does not get activated by just simply moving bit has to moved few times or even hit it on pad at time ,44,5.0,initially thought great piece slowly struggling use stop working go sleep long get activated simply moving bit moved time even hit pad time,1
positive,i bought this for my work laptop and really like it the coloring changing option is fun but don turn that on very often so the charge lasts longer have small hands and it fits my hand comfortably ,38,2.0,bought work laptop really like coloring changing option fun turn often charge last longer small hand fit hand comfortably,2
neutral,i got this in june and it now the end of september it was great at first and lasted multiple days on charge but now the battery dies after just couple of hours and it dies randomly without any warning so it always in the middle of using it frustrating this lasted maybe months in total,56,3.0,got june end september great first lasted multiple day charge battery dy couple hour dy randomly without warning always middle using frustrating lasted maybe month total,1
neutral,the type converter from this item wasn working so had to use the one had everything else was working good other than that ,23,1.0,type converter item working use one everything else working good,1
